County,Registration Valid Date,Vehicle Name
Oakland,11/14/17,Ford C-Max Energi
Wayne,11/14/17,Tesla Model S
Livingston,11/14/17,Chevrolet Volt
Wayne,11/14/17,Tesla Model S
Wayne,11/14/17,Chevrolet Volt
Clinton,11/14/17,Chevrolet Volt
Oakland,11/14/17,Ford Fusion Energi
Allegan,11/14/17,Ford Fusion Energi
Oakland,11/14/17,Tesla Model S
Oakland,11/14/17,Chevrolet Volt
Macomb,11/14/17,Ford C-Max Energi
Wayne,11/14/17,Chevrolet Bolt EV
Oakland,11/14/17,Nissan Leaf
Kent,11/14/17,Chevrolet Volt
St. Clair,11/14/17,Chevrolet Volt
Allegan,11/14/17,Toyota Prius Prime
Oakland,11/14/17,Ford Focus EV
Kalamazoo,11/14/17,Toyota Prius Plug-in
Oakland,11/14/17,Tesla Model S
Saginaw,11/14/17,Chevrolet Volt
Oakland,11/14/17,Ford Fusion Energi
Wayne,11/14/17,Ford C-Max Energi
Washtenaw,11/14/17,Ford C-Max Energi
Kent,11/14/17,Ford C-Max Energi
Oakland,11/13/17,Ford C-Max Energi
Oakland,11/13/17,Chevrolet Volt
Wayne,11/13/17,Cadillac ELR
Wayne,11/13/17,Chevrolet Volt
Oakland,11/13/17,Chrysler Pacifica
Genesee,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Ford C-Max Energi
Livingston,11/13/17,Chevrolet Volt
Eaton,11/13/17,Chevrolet Volt
St. Clair,11/13/17,Chevrolet Volt
Oakland,11/13/17,Chevrolet Volt
Livingston,11/13/17,BMW i8
Kalamazoo,11/14/17,Nissan Leaf
Zip Code not in Source Sheet,11/13/17,Tesla Model X
Muskegon,11/13/17,Chevrolet Volt
Gladwin,11/14/17,Chevrolet Volt
Macomb,11/14/17,Chevrolet Volt
Oakland,11/14/17,Toyota Prius Plug-in
Oakland,11/13/17,Chrysler Pacifica
Oakland,11/13/17,Chevrolet Volt
Allegan,11/13/17,Tesla Model X
Oakland,11/13/17,Ford C-Max Energi
Allegan,11/13/17,Ford C-Max Energi
Washtenaw,11/13/17,Ford Fusion Energi
Oakland,11/14/17,Ford Fusion Energi
Macomb,11/15/17,Ford C-Max Energi
Macomb,11/15/17,Chevrolet Volt
Oakland,11/15/17,Chevrolet Volt
Genesee,11/15/17,Chevrolet Volt
Livingston,11/15/17,Chevrolet Volt
Grand Traverse,11/15/17,Tesla Model S
Washtenaw,11/15/17,Chevrolet Volt
Oakland,11/15/17,Ford Fusion Energi
Macomb,11/15/17,Chevrolet Volt
Livingston,11/15/17,Ford Fusion Energi
Ionia,11/15/17,Toyota Prius Plug-in
Berrien,11/15/17,Chevrolet Volt
Wayne,11/15/17,Toyota Prius Prime
St. Clair,11/15/17,Ford Fusion Energi
Ottawa,11/15/17,Chevrolet Bolt EV
Ingham,11/15/17,Chevrolet Volt
Oakland,11/15/17,Chevrolet Volt
Washtenaw,11/15/17,Ford C-Max Energi
Livingston,11/15/17,Chevrolet Volt
Oakland,11/15/17,Chevrolet Volt
Allegan,11/15/17,Ford C-Max Energi
Macomb,11/15/17,Chevrolet Volt
Kent,11/15/17,Ford Focus EV
Allegan,11/15/17,Chevrolet Volt
Genesee,11/14/17,Chevrolet Volt
Oakland,11/14/17,Chrysler Pacifica
Washtenaw,11/14/17,Toyota Prius Prime
Oakland,11/14/17,Chevrolet Volt
Berrien,11/14/17,Chevrolet Volt
Kent,11/14/17,Volvo XC60 Plug In
Grand Traverse,11/14/17,Chevrolet Volt
Cheboygan,11/14/17,Chevrolet Bolt EV
Wayne,11/14/17,BMW 3-Series Plug in
Kalamazoo,11/14/17,Audi A3 Plug In
Oakland,11/14/17,Ford C-Max Energi
Clinton,11/14/17,GEM NEV
Ingham,11/15/17,Ford Fusion Energi
Macomb,11/15/17,Chevrolet Volt
Wayne,11/15/17,Toyota Prius Plug-in
Wayne,11/15/17,Chrysler Pacifica
Kent,11/15/17,Chevrolet Volt
Livingston,11/15/17,Chevrolet Volt
Oakland,11/15/17,Chevrolet Volt
Washtenaw,11/15/17,Ford C-Max Energi
Washtenaw,11/15/17,Nissan Leaf
Wayne,11/15/17,Tesla Model X
Macomb,11/15/17,Ford C-Max Energi
Kent,11/15/17,Chevrolet Volt
Oakland,11/13/17,Chevrolet Volt
Washtenaw,11/9/17,Toyota Prius Prime
Washtenaw,11/9/17,Ford Focus EV
Clinton,11/9/17,Chevrolet Volt
Oakland,11/9/17,Ford C-Max Energi
St. Clair,11/9/17,Chevrolet Volt
Wayne,11/9/17,Tesla Model S
Monroe,11/8/17,Chevrolet Volt
Ottawa,11/8/17,Chevrolet Volt
Oakland,11/8/17,Chevrolet Volt
Washtenaw,11/9/17,Chevrolet Volt
Wayne,11/9/17,Chevrolet Volt
Oakland,11/8/17,Tesla Model X
Washtenaw,11/9/17,Tesla Model S
Ingham,11/9/17,Chevrolet Volt
Ottawa,11/9/17,Ford C-Max Energi
Washtenaw,11/9/17,Toyota Prius Prime
Berrien,11/9/17,Cadillac ELR
Oakland,11/9/17,Tesla Model X
Kent,11/9/17,Chevrolet Volt
Lapeer,11/9/17,Chevrolet Volt
Muskegon,11/9/17,Nissan Leaf
Ingham,11/9/17,Nissan Leaf
Oakland,11/9/17,Cadillac ELR
Emmet,11/9/17,Chevrolet Volt
Ingham,11/8/17,Ford Focus EV
Oakland,11/8/17,Ford C-Max Energi
Oakland,11/8/17,Nissan Leaf
Ottawa,11/8/17,Ford C-Max Energi
Kalamazoo,11/8/17,Chevrolet Volt
Oakland,11/8/17,Chevrolet Volt
Oakland,11/7/17,Ford C-Max Energi
Wayne,11/7/17,Chevrolet Volt
Wayne,11/7/17,Ford C-Max Energi
Washtenaw,11/8/17,Fiat 500e
Shiawassee,11/8/17,Chevrolet Volt
Oakland,11/8/17,BMW X5
Ingham,11/8/17,Nissan Leaf
Wayne,11/8/17,Ford C-Max Energi
Oakland,11/8/17,Chevrolet Bolt EV
Bay,11/8/17,Ford Fusion Energi
Macomb,11/8/17,Ford C-Max Energi
Washtenaw,11/8/17,Ford C-Max Energi
Oakland,11/8/17,Chevrolet Volt
Macomb,11/8/17,Chevrolet Volt
Wayne,11/8/17,Chevrolet Volt
Wexford,11/8/17,Chevrolet Volt
Washtenaw,11/8/17,Tesla Model S
Gratiot,11/8/17,Toyota Prius Plug-in
Kent,11/9/17,Chevrolet Volt
Washtenaw,11/12/17,Chevrolet Volt
Kent,11/12/17,Tesla Model S
Wayne,11/12/17,Tesla Model X
Kent,11/12/17,Nissan Leaf
Macomb,11/12/17,Chevrolet Volt
Oakland,11/12/17,Chevrolet Volt
Oakland,11/10/17,Chevrolet Bolt EV
Kent,11/10/17,Ford C-Max Energi
Oakland,11/10/17,Chevrolet Bolt EV
Oakland,11/12/17,Tesla Model S
Washtenaw,11/11/17,Ford C-Max Energi
Oakland,11/11/17,Chevrolet Volt
Kent,11/13/17,Chevrolet Volt
Mecosta,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Porsche Cayenne S E-Hybrid
Oakland,11/13/17,Chevrolet Volt
Oakland,11/13/17,Chevrolet Volt
Zip Code not in Source Sheet,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Tesla Model X
Livingston,11/13/17,Tesla Model S
Ingham,11/12/17,Chevrolet Volt
Oakland,11/13/17,Chrysler Pacifica
Macomb,11/13/17,Chevrolet Volt
Washtenaw,11/13/17,Chrysler Pacifica
Wayne,11/9/17,Chevrolet Volt
Macomb,11/9/17,Chevrolet Volt
