"statecode_of_county","county","per_capita_income_2021","ev_count"
"CA","Alameda",99746,192172
"CA","Alpine",72734,38
"CA","Amador",49752,768
"CA","Butte",54694,3423
"CA","Calaveras",57726,999
"CA","Colusa",54511,125
"CA","Contra Costa",99312,102886
"CA","Del Norte",43951,375
"CA","El Dorado",78525,10749
"CA","Fresno",51422,22285
"CA","Glenn",50626,213
"CA","Humboldt",53607,6406
"CA","Imperial",47653,945
"CA","Inyo",62090,243
"CA","Kern",45961,11954
"CA","Kings",43176,1378
"CA","Lake",46918,1498
"CA","Lassen",39394,68
"CA","Los Angeles",74141,642677
"CA","Madera",45757,2158
"CA","Marin",164118,40179
"CA","Mariposa",61343,289
"CA","Mendocino",56047,4026
"CA","Merced",46580,3194
"CA","Modoc",54301,14
"CA","Mono",64164,191
"CA","Monterey",63449,12839
"CA","Napa",90608,9499
"CA","Nevada",68973,3869
"CA","Orange",81034,303324
"CA","Placer",76849,22561
"CA","Plumas",57193,159
"CA","Riverside",51180,81505
"CA","Sacramento",61829,58327
"CA","San Benito",68868,2658
"CA","San Bernardino",49493,61962
"CA","San Diego",72637,197012
"CA","San Francisco",160749,62911
"CA","San Joaquin",57783,19665
"CA","San Luis Obispo",66617,14076
"CA","San Mateo",160485,102569
"CA","Santa Barbara",73995,18988
"CA","Santa Clara",138724,332645
"CA","Santa Cruz",85554,23148
"CA","Shasta",54972,2562
"CA","Sierra",47135,25
"CA","Siskiyou",52368,391
"CA","Solano",65448,19588
"CA","Sonoma",81006,43164
"CA","Stanislaus",52356,9226
"CA","Sutter",53017,1098
"CA","Tehama",48042,477
"CA","Trinity",36906,169
"CA","Tulare",47986,4731
"CA","Tuolumne",52306,811
"CA","Ventura",73375,51418
"CA","Yolo",64468,11367
"CA","Yuba",48984,942
"FL","Alachua",52367,4131
"FL","Baker",40735,61
"FL","Bay",53980,1467
"FL","Bradford",39748,72
"FL","Brevard",55477,10079
"FL","Broward",64453,40508
"FL","Calhoun",35792,23
"FL","Charlotte",51677,2192
"FL","Citrus",45050,1062
"FL","Clay",51885,1828
"FL","Collier",117984,9099
"FL","Columbia",43184,256
"FL","Dixie",33813,14
"FL","Duval",54354,10438
"FL","Escambia",51808,2434
"FL","Flagler",56336,1603
"FL","Franklin",41878,101
"FL","Gadsden",44832,11
"FL","Gilchrist",41769,61
"FL","Glades",33401,33
"FL","Gulf",49250,55
"FL","Hamilton",32123,13
"FL","Hardee",35636,39
"FL","Hendry",39699,176
"FL","Hernando",46080,1495
"FL","Highlands",41568,640
"FL","Hillsborough",58140,23760
"FL","Holmes",37381,25
"FL","Indian River",95109,2142
"FL","Jackson",39322,75
"FL","Jefferson",50197,103
"FL","Lake",49831,4835
"FL","Lee",62885,9538
"FL","Leon",54277,3511
"FL","Levy",43272,148
"FL","Liberty",32872,24
"FL","Madison",39165,30
"FL","Manatee",59152,7006
"FL","Marion",45152,2834
"FL","Martin",102273,3528
"FL","Monroe",109136,1620
"FL","Nassau",70010,1001
"FL","Okaloosa",59384,2079
"FL","Okeechobee",39747,139
"FL","Orange",54979,29309
"FL","Osceola",43354,4194
"FL","Palm Beach",100627,38490
"FL","Pasco",50479,7041
"FL","Pinellas",65936,17943
"FL","Polk",43556,5410
"FL","Putnam",40376,244
"FL","St. Johns",80062,6265
"FL","St. Lucie",50038,3395
"FL","Santa Rosa",53778,1648
"FL","Sarasota",78815,10041
"FL","Seminole",58539,9340
"FL","Sumter",64282,1484
"FL","Suwannee",39039,96
"FL","Taylor",35156,27
"FL","Union",25293,16
"FL","Volusia",52964,5642
"FL","Wakulla",45669,134
"FL","Walton",78714,1116
"FL","Washington",36331,54
"MI","Alcona",49262,9
"MI","Alger",42171,8
"MI","Allegan",53375,560
"MI","Alpena",48428,37
"MI","Antrim",55759,64
"MI","Arenac",47470,9
"MI","Baraga",41772,3
"MI","Barry",52951,118
"MI","Bay",50396,229
"MI","Benzie",54684,54
"MI","Berrien",59656,503
"MI","Branch",45325,68
"MI","Calhoun",47789,250
"MI","Cass",56042,86
"MI","Charlevoix",62505,106
"MI","Cheboygan",48078,38
"MI","Chippewa",42943,15
"MI","Clare",40710,27
"MI","Clinton",54719,296
"MI","Crawford",44116,7
"MI","Delta",46524,50
"MI","Dickinson",55335,32
"MI","Eaton",50743,418
