"statecode_of_county","county","per_capita_income_2021","vehicle_cnt","station_cnt"
"CA","Alameda",99746,192172,792
"CA","Alpine",72734,38,5
"CA","Amador",49752,768,12
"CA","Butte",54694,3423,30
"CA","Calaveras",57726,999,5
"CA","Colusa",54511,125,6
"CA","Contra Costa",99312,102886,309
"CA","Del Norte",43951,375,13
"CA","El Dorado",78525,10749,72
"CA","Fresno",51422,22285,337
"CA","Glenn",50626,213,3
"CA","Humboldt",53607,6406,73
"CA","Imperial",47653,945,6
"CA","Inyo",62090,243,4
"CA","Kern",45961,11954,136
"CA","Kings",43176,1378,32
"CA","Lake",46918,1498,8
"CA","Lassen",39394,68,5
"CA","Los Angeles",74141,642677,3525
"CA","Madera",45757,2158,39
"CA","Marin",164118,40179,197
"CA","Mariposa",61343,289,23
"CA","Mendocino",56047,4026,71
"CA","Merced",46580,3194,25
"CA","Modoc",54301,14,3
"CA","Mono",64164,191,17
"CA","Monterey",63449,12839,146
"CA","Napa",90608,9499,138
"CA","Nevada",68973,3869,45
"CA","Orange",81034,303324,1609
"CA","Placer",76849,22561,149
"CA","Plumas",57193,159,4
"CA","Riverside",51180,81505,518
"CA","Sacramento",61829,58327,479
"CA","San Benito",68868,2658,13
"CA","San Bernardino",49493,61962,401
"CA","San Diego",72637,197012,1243
"CA","San Francisco",160749,62911,336
"CA","San Joaquin",57783,19665,114
"CA","San Luis Obispo",66617,14076,179
"CA","San Mateo",160485,102569,1077
"CA","Santa Barbara",73995,18988,154
"CA","Santa Clara",138724,332645,1650
"CA","Santa Cruz",85554,23148,92
"CA","Shasta",54972,2562,34
"CA","Sierra",47135,25,2
"CA","Siskiyou",52368,391,21
"CA","Solano",65448,19588,135
"CA","Sonoma",81006,43164,217
"CA","Stanislaus",52356,9226,48
"CA","Sutter",53017,1098,4
"CA","Tehama",48042,477,14
"CA","Trinity",36906,169,6
"CA","Tulare",47986,4731,64
"CA","Tuolumne",52306,811,20
"CA","Ventura",73375,51418,222
"CA","Yolo",64468,11367,90
"CA","Yuba",48984,942,6
"FL","Alachua",52367,4131,42
"FL","Bay",53980,1467,14
"FL","Brevard",55477,10079,127
"FL","Broward",64453,40508,261
"FL","Charlotte",51677,2192,5
"FL","Citrus",45050,1062,14
"FL","Clay",51885,1828,5
"FL","Collier",117984,9099,47
"FL","Columbia",43184,256,17
"FL","Duval",54354,10438,90
"FL","Escambia",51808,2434,21
"FL","Flagler",56336,1603,10
"FL","Franklin",41878,101,9
"FL","Hamilton",32123,13,2
"FL","Hardee",35636,39,2
"FL","Hendry",39699,176,5
"FL","Hernando",46080,1495,3
"FL","Highlands",41568,640,13
"FL","Hillsborough",58140,23760,199
"FL","Indian River",95109,2142,11
"FL","Jackson",39322,75,3
"FL","Jefferson",50197,103,4
"FL","Lake",49831,4835,38
"FL","Lee",62885,9538,66
"FL","Leon",54277,3511,29
"FL","Levy",43272,148,2
"FL","Madison",39165,30,1
"FL","Manatee",59152,7006,54
"FL","Marion",45152,2834,9
"FL","Martin",102273,3528,13
"FL","Monroe",109136,1620,33
"FL","Nassau",70010,1001,16
"FL","Okaloosa",59384,2079,23
"FL","Okeechobee",39747,139,17
"FL","Orange",54979,29309,269
"FL","Osceola",43354,4194,100
"FL","Palm Beach",100627,38490,255
"FL","Pasco",50479,7041,29
"FL","Pinellas",65936,17943,166
"FL","Polk",43556,5410,36
"FL","Putnam",40376,244,4
"FL","Santa Rosa",53778,1648,3
"FL","Sarasota",78815,10041,85
"FL","Seminole",58539,9340,62
"FL","St. Johns",80062,6265,27
"FL","St. Lucie",50038,3395,33
"FL","Sumter",64282,1484,8
"FL","Suwannee",39039,96,1
"FL","Taylor",35156,27,7
"FL","Volusia",52964,5642,74
"FL","Wakulla",45669,134,4
"FL","Walton",78714,1116,16
"FL","Washington",36331,54,2
"MI","Alcona",49262,9,1
"MI","Alger",42171,8,1
"MI","Allegan",53375,560,28
