"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","ev_count"
"CA","Contra Costa",115342618,103630133,95239323,102886
"CA","Alameda",164437681,149239559,135758980,192172
"CA","Alpine",89826,90114,94986,38
"CA","Amador",2052718,1937437,1768935,768
"CA","Butte",11393205,10798585,9983194,3423
"CA","Calaveras",2668137,2509072,2275336,999
"CA","Colusa",1194709,1212803,981952,125
"CA","Del Norte",1235023,1144636,1019693,375
"CA","Fresno",52120107,48744997,43195403,22285
"CA","Glenn",1458277,1428881,1263456,213
"CA","Humboldt",7307117,6912014,6343560,6406
"CA","Imperial",8570390,8080812,6811102,945
"CA","Inyo",1177853,1143746,1100841,243
"CA","Kern",42177029,40097301,35784162,11954
"CA","Kings",6625114,6318254,5586182,1378
"CA","Lake",3226342,3027116,2741805,1498
"CA","Lassen",1306255,1231331,1097625,68
"CA","Los Angeles",728772915,684663140,635759588,642677
"CA","Madera",7294182,6902603,6131113,2158
"CA","Marin",42704366,38852617,36799402,40179
"CA","Mariposa",1051845,992569,928785,289
"CA","Mendocino",5117411,4849671,4403781,4026
"CA","Merced",13343412,12390335,10786869,3194
"CA","Modoc",470297,454188,405473,14
"CA","Mono",849984,814141,733639,191
"CA","Monterey",27747802,26794525,24787069,12839
"CA","Napa",12341466,11372288,10349607,9499
"CA","Nevada",7137821,6709554,6256190,3869
"CA","Orange",256700438,241153117,224716133,303324
"CA","Placer",31684782,29724947,27430466,22561
"CA","Plumas",1139001,1071187,994458,159
"CA","Riverside",125820553,115570337,104149463,81505
"CA","Sacramento",98241828,91987475,83515309,58327
"CA","San Benito",4591936,3971313,3435561,2658
"CA","San Bernardino",108623799,99313293,89559909,61962
"CA","San Diego",238691713,223652407,206231115,197012
"CA","San Francisco",131043138,122788484,115034972,62911
"CA","San Joaquin",45614264,40404026,35189770,19665
"CA","San Luis Obispo",18863123,17964706,16904030,14076
"CA","San Mateo",118419753,108469755,100799226,102569
"CA","Santa Barbara",33037087,31123329,28509928,18988
"CA","Santa Clara",261564583,237047825,220941967,332645
"CA","Santa Cruz",22910773,20866180,19159038,23148
"CA","Shasta",10012526,9370094,8401549,2562
"CA","Sierra",154744,143780,133941,25
"CA","Siskiyou",2310391,2172624,1947309,391
"CA","Solano",29563967,26474031,23476546,19588
"CA","Sonoma",39359689,35905845,32748038,43164
"CA","Stanislaus",28952717,27153448,24138747,9226
"CA","Sutter",5252054,4945108,4407537,1098
"CA","Tehama",3146637,2956906,2676633,477
"CA","Trinity",592715,551713,507232,169
"CA","Tulare",22891980,21581526,18835476,4731
"CA","Tuolumne",2919172,2754808,2543859,811
"CA","Ventura",61619080,57863763,53964282,51418
"CA","Yolo",13988611,13173891,12082665,11367
"CA","Yuba",4086315,3752963,3319359,942
"FL","Alachua",14622893,13615822,12672514,4131
"FL","Baker",1169714,1058851,987649,61
"FL","Bay",9671542,8791753,8214021,1467
"FL","Bradford",1134397,1048209,971711,72
"FL","Brevard",34208428,31476172,29275434,10079
"FL","Broward",124458321,112371914,105577146,40508
"FL","Calhoun",488232,449865,411976,23
"FL","Charlotte",10068892,9219838,8584349,2192
"FL","Citrus",7121669,6529959,6055302,1062
"FL","Clay",11537106,10517681,9808937,1828
"FL","Collier",45539558,42413331,41014314,9099
"FL","Columbia",3039473,2784335,2579205,256
"FL","Dixie",578267,538829,491636,14
"FL","Duval",54350014,50124796,46471685,10438
"FL","Escambia",16702337,15423880,14296330,2434
"FL","Flagler",6812858,6101443,5745595,1603
"FL","Franklin",526489,485717,450932,101
"FL","Gadsden",1959804,1768283,1647746,11
"FL","Gilchrist",766873,700013,649125,61
"FL","Glades",408631,382395,347640,33
"FL","Hamilton",449503,416385,386317,13
"FL","Hardee",906036,819087,758736,39
"FL","Hendry",1600370,1495860,1350692,176
"FL","Hernando",9245435,8325700,7607319,1495
"FL","Highlands",4293843,3964116,3669412,640
"FL","Hillsborough",85942006,78191171,72392243,23760
"FL","Holmes",739549,678221,634966,25
"FL","Indian River",15565785,14317852,13711728,2142
"FL","Jackson",1875432,1737947,1632526,75
"FL","Jefferson",730618,666432,624506,103
"FL","Lake",19723200,17703971,16507776,4835
"FL","Lee",49552254,45345499,42383795,9538
"FL","Leon",15893185,14566562,13640566,3511
"FL","Levy",1910796,1733726,1587530,148
"FL","Liberty",259690,239121,214426,24
"FL","Madison",716246,653211,603083,30
"FL","Manatee",24412119,22300356,21012708,7006
"FL","Marion",17424672,15834332,14468661,2834
"FL","Martin",16357821,15064423,14593684,3528
"FL","Monroe",8967730,8261389,8061921,1620
"FL","Nassau",6594199,6026192,5612225,1001
