"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
2495580,2664063,2857062,5
10986182,11971269,13079505,31
960282,1017177,1109934,1
261221,283902,308674,2
4728062,5107427,5477775,7
1953703,2083128,2299033,1
37171635,39089658,41652714,47
3608874,3910865,4213512,3
6770191,7291278,7975201,19
4512896,4944532,5410870,4
20297750,22017542,23654316,32
3682125,3970284,4362865,4
16378449,17745339,19174024,27
10011596,10749301,11448324,14
5014254,5451985,5871640,6
1955965,2124925,2312332,3
3740683,3988749,4370019,2
12770746,13556319,14601052,3
2881406,3082039,3315447,1
1743051,1845898,1983215,3
8532858,9191182,9861067,17
2702754,2836304,3061935,1
2445318,2780563,2997074,1
5206793,5882308,6188571,9
7232353,7837473,8255426,60
2180298,2421661,2612568,4
1227016,1389599,1514535,2
725924,767430,819303,6
227058763,249677860,268713717,695
7517261,8288070,8997444,10
3584565,4114493,4507525,11
47581859,52416791,55696681,78
15583702,17603992,19687597,24
10092937,11190206,11884929,48
7603746,8735911,9169548,8
24117851,24895095,26927606,37
1363734,1456276,1613164,1
928543,984137,1156989,6
827436,882377,909641,1
980941,1050206,1132907,2
804176,864312,968755,1
4275645,4688827,5067797,4
2141445,2273773,2456859,1
1835466,1999481,2158375,2
4983438,5357512,5734973,8
576182,603510,697074,1
4142767,4454403,4705205,13
1829339,2084057,2242255,2
1629818,1798726,1928333,2
686264,715425,812743,1
1066239,1153114,1242186,1
1368099,1463809,1588899,3
638771,712011,720710,1
2385351,2576946,2771138,2
765833,816466,919482,1
3004954,3234254,3466189,6
1442547,1549819,1676594,8
233121,271862,279238,1
269967,290769,318945,7
898803,965637,1035630,1
601639,674331,723677,3
2280688,2373272,2611331,2
20703265,22117920,23305414,61
615568,672722,745003,2
709350,769591,835909,2
5343477,5722645,6140239,2
5543154,5812810,6234569,1
1780964,1845908,1947183,4
9959563,10917526,11961674,23
135758980,149239559,164437681,792
94986,90114,89826,5
1768935,1937437,2052718,12
9983194,10798585,11393205,30
2275336,2509072,2668137,5
981952,1212803,1194709,6
95239323,103630133,115342618,309
1019693,1144636,1235023,13
13283051,14272152,15172658,72
43195403,48744997,52120107,337
1263456,1428881,1458277,3
6343560,6912014,7307117,73
6811102,8080812,8570390,6
1100841,1143746,1177853,4
35784162,40097301,42177029,136
5586182,6318254,6625114,32
2741805,3027116,3226342,8
1097625,1231331,1306255,5
635759588,684663140,728772915,3525
6131113,6902603,7294182,39
36799402,38852617,42704366,197
928785,992569,1051845,23
4403781,4849671,5117411,71
10786869,12390335,13343412,25
405473,454188,470297,3
733639,814141,849984,17
24787069,26794525,27747802,146
10349607,11372288,12341466,138
6256190,6709554,7137821,45
224716133,241153117,256700438,1609
27430466,29724947,31684782,149
994458,1071187,1139001,4
104149463,115570337,125820553,518
83515309,91987475,98241828,479
3435561,3971313,4591936,13
89559909,99313293,108623799,401
206231115,223652407,238691713,1243
115034972,122788484,131043138,336
35189770,40404026,45614264,114
19159038,20866180,22910773,92
8401549,9370094,10012526,34
133941,143780,154744,2
1947309,2172624,2310391,21
23476546,26474031,29563967,135
32748038,35905845,39359689,217
24138747,27153448,28952717,48
4407537,4945108,5252054,4
2676633,2956906,3146637,14
507232,551713,592715,6
18835476,21581526,22891980,64
2543859,2754808,2919172,20
53964282,57863763,61619080,222
12082665,13173891,13988611,90
3319359,3752963,4086315,6
23387535,25283114,27769198,118
622050,673331,736456,5
42704429,44960387,48637263,89
621881,678276,721379,6
158973,167903,188410,2
26236032,27514385,29524725,266
4885095,4992315,5549760,27
1036923,1113168,1215477,17
626516,666069,729627,9
219328,234203,258664,3
1206772,1355742,1457743,5
16904030,17964706,18863123,179
100799226,108469755,118419753,1077
28509928,31123329,33037087,154
220941967,237047825,261564583,1650
61385823,64397494,70529406,289
78910,85287,94637,4
27386418,29397596,32412414,49
4726231,5089549,5419735,85
36979710,40040849,43258594,74
1722293,1877219,2036961,10
3626547,3848383,4172419,35
314129,342945,375701,4
860004,916677,987549,17
877342,951768,1028465,21
39590,41492,44145,2
283237,311767,337700,3
38764990,40290908,43365538,127
299716,299771,363155,2
3350807,3515381,3765617,35
20265801,21659942,23295659,124
553361,611918,654554,4
168235,186802,213999,3
949371,950912,1038469,3
7170335,7622988,8200469,33
55496,58927,64911,1
555858,605662,649057,7
1139617,1212406,1333873,4
1827306,2000661,2192453,15
1299752,1376685,1510415,2
672996,733250,794924,6
332018,354807,386321,7
872245,924915,1012294,3
190372,199792,227324,1
3188025,3253281,3451188,49
475885,500445,552694,2
6661970,7330467,7959927,34
306769,327185,354530,7
548504,600524,654254,6
2200893,2350418,2468236,15
235172,246943,284457,4
34422,38217,42563,1
779120,818826,885019,12
101336,99119,120783,1
2383577,2513523,2673005,74
1332658,1432334,1544567,7
189015,197721,234642,2
16152882,17348019,19230197,55
111976677,114101074,122265576,147
57837042,60345468,62930511,119
12188410,12885766,13847683,27
11288482,11737166,12266765,32
