"per_capita_income_2021","stations_count"
59893,3
50769,1
46804,4
43176,32
49062,10
39378,3
59934,50
40880,1
50001,3
58072,2
40591,1
49091,23
61200,26
48330,3
66916,1
85505,240
84695,13
51492,1
48950,6
49881,4
49571,4
50363,6
60771,51
50568,3
65762,27
50699,1
53257,1
40179,1
40744,2
43556,36
90608,138
52478,2
49512,10
57558,3
51757,8
61102,9
56491,6
49062,4
55148,2
51287,2
48861,3
52754,10
42943,6
50418,11
76181,3
48050,14
46412,1
48060,4
49045,1
47117,2
43249,4
43678,1
42171,1
47503,15
71537,161
54406,9
53797,1
51670,3
53612,1
46879,1
47135,2
39669,1
57127,3
58706,2
107767,64
50976,7
56842,42
58799,3
51619,4
46730,3
58566,5
46177,4
47288,2
53008,1
46396,3
50038,33
44205,3
57205,4
58622,11
53920,14
52586,5
49797,3
69803,17
160749,336
59146,1
52718,3
46860,13
63427,78
53348,4
54525,17
34881,2
65869,376
38953,1
50549,4
55368,1
73485,6
60741,7
48243,5
55803,8
55900,3
79817,99
67063,3
47144,6
57857,3
47479,6
46134,2
57721,11
34627,1
52964,74
58539,62
51952,1
53269,3
47563,1
72421,1
70331,176
59558,5
46857,6
45538,4
42171,1
50464,5
44843,7
59919,2
46362,50
53499,28
54556,9
42471,1
54179,1
64247,1
51566,9
61106,1
55759,6
46093,1
78039,7
57097,2
72046,89
54238,15
49852,2
53355,2
36748,1
39180,4
53137,16
37861,12
52517,8
74141,3525
49405,22
41252,2
60615,4
117984,47
52329,8
47986,64
58084,12
36761,2
69817,1
55176,3
44399,4
53980,14
138724,1650
56955,4
59852,32
51623,1
95483,103
71205,177
56258,5
60349,17
46918,5
61752,13
42710,1
59656,23
72511,2
47686,1
42403,4
50124,5
42266,3
198939,49
48929,9
48665,3
37039,7
43592,2
48328,3
41983,8
47195,1
47174,2
43546,12
52547,1
59689,4
51563,3
48060,1
49116,4
55927,79
50229,1
53573,14
52121,33
56076,33
71297,2
50197,4
54820,43
52253,2
58507,2
70250,1
41423,2
48831,2
56118,74
43661,2
50734,2
46163,3
54377,1
42546,3
87214,17
50396,11
48556,1
60912,3
40026,2
51579,2
43793,24
49136,5
47040,4
42960,3
60550,17
44798,3
63254,1
58194,3
50198,1
53728,2
45594,2
51703,5
64093,33
78754,6
49976,1
40959,1
51180,518
56089,4
54726,6
50927,1
110781,11
41808,2
48086,14
57876,2
69528,56
45875,1
55398,1
53807,1
51939,1
127391,147
52948,2
52349,1
60717,98
50112,1
63256,33
67256,74
57085,15
47867,3
58363,21
51392,1
75624,13
88303,40
66103,4
39323,1
43469,2
42752,6
45199,2
66017,8
46061,6
62392,108
44203,2
57997,2
38366,3
47789,27
44948,14
44116,2
49274,18
48042,14
56808,4
53700,1
53368,2
47613,3
55442,78
48756,5
50326,4
34503,14
62055,9
47673,3
54745,7
90254,76
55693,13
49508,9
59877,4
88671,147
40634,2
59387,1
41657,4
43859,7
52394,4
67845,106
42281,2
49117,4
52695,26
62885,66
45681,1
62837,44
43194,1
68688,97
61216,2
45434,2
59219,2
41331,10
56791,5
50846,1
48104,9
68974,41
59593,1
58524,52
51970,5
48583,3
63005,2
53017,4
84535,339
44507,5
56147,1
46828,2
47162,14
77006,168
45308,1
41182,3
42102,4
42569,7
64350,3
62272,68
41266,1
47259,2
53871,1
56240,4
87038,11
47933,1
48270,2
40710,5
43814,5
48319,2
83603,43
50210,6
42076,2
53778,3
47559,1
59212,30
45045,2
61522,90
45950,24
46763,6
45160,4
44945,1
48528,3
53435,7
38989,1
48942,5
66944,35
42467,1
58829,3
47129,3
92719,5
53861,4
54342,1
47142,2
65961,1
53165,7
52055,8
52999,3
36886,1
78815,85
69583,1
53019,1
53189,3
69243,11
48987,5
50714,8
57847,3
60388,11
46961,24
43593,4
59878,3
65299,1
49906,1
49475,1
53562,1
48912,1
44723,2
57831,27
49491,9
63197,1
42796,3
44779,21
47918,5
48845,10
48377,2
39143,5
52090,5
46170,1
45069,1
55625,6
56553,55
54681,32
45643,1
40849,3
43362,1
58940,197
50595,28
65050,68
45206,1
54756,8
53536,8
51643,4
57420,5
51265,4
47269,20
76059,123
51220,40
98644,417
46992,22
49160,9
51539,1
72258,1
57838,2
51703,15
60799,70
81829,102
37474,1
39690,22
77180,27
58425,5
58630,3
48924,7
50610,158
52312,6
65358,6
55202,6
80062,27
52142,6
53658,28
54768,7
41496,2
50630,1
62537,60
49012,40
57713,28
51905,3
41780,5
49612,2
51571,32
50993,2
53996,1
45289,2
46929,1
43689,1
36906,6
38250,1
61414,2
43331,2
54704,2
52341,1
43764,2
53564,5
47740,1
63939,33
51300,1
43812,11
65803,25
43184,17
53863,4
73032,62
57849,4
47066,1
52897,29
84054,35
47094,10
49425,2
51643,13
37461,1
47459,2
46038,1
49746,4
51705,1
54638,24
49399,15
48733,6
53330,3
42389,2
48474,1
51911,10
43782,1
58335,4
37395,4
